id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,distance_metric,accuracy
103,hc,gaussian,6,3,,2.5,avg,100.0
103,hc,gaussian,6,3,,2.5,mean,100.0
104,hc,gaussian,6,4,,0.5,min,100.0
104,hc,gaussian,6,4,,0.5,max,100.0
104,hc,gaussian,6,4,,0.5,avg,100.0
104,hc,gaussian,6,4,,0.5,mean,100.0
105,hc,gaussian,6,4,,1.0,min,100.0
105,hc,gaussian,6,4,,1.0,max,100.0
105,hc,gaussian,6,4,,1.0,avg,100.0
105,hc,gaussian,6,4,,1.0,mean,100.0
106,hc,gaussian,6,4,,2.0,min,100.0
106,hc,gaussian,6,4,,2.0,max,100.0
106,hc,gaussian,6,4,,2.0,avg,100.0
106,hc,gaussian,6,4,,2.0,mean,100.0
107,hc,gaussian,6,4,,2.5,min,76.0
107,hc,gaussian,6,4,,2.5,max,100.0
107,hc,gaussian,6,4,,2.5,avg,100.0
107,hc,gaussian,6,4,,2.5,mean,100.0
108,hc,gaussian,6,5,,0.5,min,100.0
108,hc,gaussian,6,5,,0.5,max,100.0
108,hc,gaussian,6,5,,0.5,avg,100.0
108,hc,gaussian,6,5,,0.5,mean,100.0
109,hc,gaussian,6,5,,1.0,min,100.0
109,hc,gaussian,6,5,,1.0,max,100.0
109,hc,gaussian,6,5,,1.0,avg,100.0
109,hc,gaussian,6,5,,1.0,mean,100.0
110,hc,gaussian,6,5,,2.0,min,100.0
110,hc,gaussian,6,5,,2.0,max,100.0
110,hc,gaussian,6,5,,2.0,avg,100.0
110,hc,gaussian,6,5,,2.0,mean,100.0
111,hc,gaussian,6,5,,2.5,min,81.0
111,hc,gaussian,6,5,,2.5,max,100.0
111,hc,gaussian,6,5,,2.5,avg,100.0
111,hc,gaussian,6,5,,2.5,mean,100.0
112,hc,gaussian,6,6,,0.5,min,100.0
112,hc,gaussian,6,6,,0.5,max,100.0
112,hc,gaussian,6,6,,0.5,avg,100.0
112,hc,gaussian,6,6,,0.5,mean,100.0
113,hc,gaussian,6,6,,1.0,min,100.0
113,hc,gaussian,6,6,,1.0,max,100.0
113,hc,gaussian,6,6,,1.0,avg,100.0
113,hc,gaussian,6,6,,1.0,mean,100.0
114,hc,gaussian,6,6,,2.0,min,82.0
114,hc,gaussian,6,6,,2.0,max,98.0
114,hc,gaussian,6,6,,2.0,avg,98.0
114,hc,gaussian,6,6,,2.0,mean,98.0
115,hc,gaussian,6,6,,2.5,min,82.0
115,hc,gaussian,6,6,,2.5,max,97.0
115,hc,gaussian,6,6,,2.5,avg,98.0
115,hc,gaussian,6,6,,2.5,mean,98.0
116,hc,gaussian,6,7,,0.5,min,100.0
116,hc,gaussian,6,7,,0.5,max,100.0
116,hc,gaussian,6,7,,0.5,avg,100.0
116,hc,gaussian,6,7,,0.5,mean,100.0
117,hc,gaussian,6,7,,1.0,min,100.0
117,hc,gaussian,6,7,,1.0,max,100.0
117,hc,gaussian,6,7,,1.0,avg,100.0
117,hc,gaussian,6,7,,1.0,mean,100.0
118,hc,gaussian,6,7,,2.0,min,85.0
118,hc,gaussian,6,7,,2.0,max,99.0
118,hc,gaussian,6,7,,2.0,avg,99.0
118,hc,gaussian,6,7,,2.0,mean,99.0
119,hc,gaussian,6,7,,2.5,min,70.0
119,hc,gaussian,6,7,,2.5,max,97.0
119,hc,gaussian,6,7,,2.5,avg,99.0
119,hc,gaussian,6,7,,2.5,mean,85.0
120,hc,gaussian,7,2,,0.5,min,100.0
120,hc,gaussian,7,2,,0.5,max,100.0
120,hc,gaussian,7,2,,0.5,avg,100.0
120,hc,gaussian,7,2,,0.5,mean,100.0
121,hc,gaussian,7,2,,1.0,min,100.0
121,hc,gaussian,7,2,,1.0,max,100.0
121,hc,gaussian,7,2,,1.0,avg,100.0
121,hc,gaussian,7,2,,1.0,mean,100.0
122,hc,gaussian,7,2,,2.0,min,100.0
122,hc,gaussian,7,2,,2.0,max,100.0
122,hc,gaussian,7,2,,2.0,avg,100.0
122,hc,gaussian,7,2,,2.0,mean,100.0
123,hc,gaussian,7,2,,2.5,min,100.0
123,hc,gaussian,7,2,,2.5,max,100.0
123,hc,gaussian,7,2,,2.5,avg,100.0
123,hc,gaussian,7,2,,2.5,mean,100.0
124,hc,gaussian,7,3,,0.5,min,100.0
124,hc,gaussian,7,3,,0.5,max,100.0
124,hc,gaussian,7,3,,0.5,avg,100.0
124,hc,gaussian,7,3,,0.5,mean,100.0
125,hc,gaussian,7,3,,1.0,min,100.0
125,hc,gaussian,7,3,,1.0,max,100.0
125,hc,gaussian,7,3,,1.0,avg,100.0
125,hc,gaussian,7,3,,1.0,mean,100.0
126,hc,gaussian,7,3,,2.0,min,100.0
126,hc,gaussian,7,3,,2.0,max,100.0
126,hc,gaussian,7,3,,2.0,avg,100.0
126,hc,gaussian,7,3,,2.0,mean,100.0
127,hc,gaussian,7,3,,2.5,min,100.0
127,hc,gaussian,7,3,,2.5,max,100.0
127,hc,gaussian,7,3,,2.5,avg,100.0
127,hc,gaussian,7,3,,2.5,mean,100.0
128,hc,gaussian,7,4,,0.5,min,100.0
128,hc,gaussian,7,4,,0.5,max,100.0
128,hc,gaussian,7,4,,0.5,avg,100.0
128,hc,gaussian,7,4,,0.5,mean,100.0
129,hc,gaussian,7,4,,1.0,min,100.0
129,hc,gaussian,7,4,,1.0,max,100.0
129,hc,gaussian,7,4,,1.0,avg,100.0
129,hc,gaussian,7,4,,1.0,mean,100.0
130,hc,gaussian,7,4,,2.0,min,76.0
130,hc,gaussian,7,4,,2.0,max,97.0
130,hc,gaussian,7,4,,2.0,avg,97.0
130,hc,gaussian,7,4,,2.0,mean,76.0
131,hc,gaussian,7,4,,2.5,min,76.0
131,hc,gaussian,7,4,,2.5,max,96.0
131,hc,gaussian,7,4,,2.5,avg,76.0
131,hc,gaussian,7,4,,2.5,mean,76.0
132,hc,gaussian,7,5,,0.5,min,100.0
132,hc,gaussian,7,5,,0.5,max,100.0
132,hc,gaussian,7,5,,0.5,avg,100.0
132,hc,gaussian,7,5,,0.5,mean,100.0
133,hc,gaussian,7,5,,1.0,min,100.0
133,hc,gaussian,7,5,,1.0,max,100.0
133,hc,gaussian,7,5,,1.0,avg,100.0
133,hc,gaussian,7,5,,1.0,mean,100.0
134,hc,gaussian,7,5,,2.0,min,79.0
