id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,init_method,accuracy
63,gmm,gaussian,3,8,,2.5,kmeans++,71.1
63,gmm,gaussian,3,8,,2.5,hcm,74.4
63,gmm,gaussian,3,8,,2.5,uniform,58.3
63,gmm,gaussian,3,8,,2.5,stratified,56.49999999999999
63,hc,gaussian,3,8,,2.5,,13.3
64,uofc,gaussian,3,9,10.0,0.5,,94.5
64,gmm,gaussian,3,9,,0.5,random,71.39999999999999
64,gmm,gaussian,3,9,,0.5,kmeans++,100.0
64,gmm,gaussian,3,9,,0.5,hcm,100.0
64,gmm,gaussian,3,9,,0.5,uniform,100.0
64,gmm,gaussian,3,9,,0.5,stratified,88.5
64,hc,gaussian,3,9,,0.5,,100.0
65,uofc,gaussian,3,9,9.0,1.0,,98.4
65,gmm,gaussian,3,9,,1.0,random,70.1
65,gmm,gaussian,3,9,,1.0,kmeans++,98.4
65,gmm,gaussian,3,9,,1.0,hcm,98.4
65,gmm,gaussian,3,9,,1.0,uniform,98.4
65,gmm,gaussian,3,9,,1.0,stratified,87.6
65,hc,gaussian,3,9,,1.0,,66.60000000000001
66,uofc,gaussian,3,9,9.0,2.0,,90.0
66,gmm,gaussian,3,9,,2.0,random,66.9
66,gmm,gaussian,3,9,,2.0,kmeans++,78.7
66,gmm,gaussian,3,9,,2.0,hcm,86.4
66,gmm,gaussian,3,9,,2.0,uniform,83.5
66,gmm,gaussian,3,9,,2.0,stratified,80.7
66,hc,gaussian,3,9,,2.0,,11.899999999999999
67,uofc,gaussian,3,9,5.0,2.5,,55.2
67,gmm,gaussian,3,9,,2.5,random,61.4
67,gmm,gaussian,3,9,,2.5,kmeans++,74.1
67,gmm,gaussian,3,9,,2.5,hcm,75.6
67,gmm,gaussian,3,9,,2.5,uniform,77.10000000000001
67,gmm,gaussian,3,9,,2.5,stratified,75.7
67,hc,gaussian,3,9,,2.5,,11.700000000000001
68,uofc,gaussian,3,10,9.0,0.5,,75.0
68,gmm,gaussian,3,10,,0.5,random,87.8
68,gmm,gaussian,3,10,,0.5,kmeans++,99.9
68,gmm,gaussian,3,10,,0.5,hcm,99.9
68,gmm,gaussian,3,10,,0.5,uniform,80.5
68,gmm,gaussian,3,10,,0.5,stratified,78.4
68,hc,gaussian,3,10,,0.5,,89.9
69,uofc,gaussian,3,10,7.0,1.0,,70.0
69,gmm,gaussian,3,10,,1.0,random,87.4
69,gmm,gaussian,3,10,,1.0,kmeans++,85.9
69,gmm,gaussian,3,10,,1.0,hcm,96.0
